
Line_#	Simulink_#	Time	AcuitySize	Right_Wrong
601	1901257	1632628	8	False
602	1904917	1636441	-1	Show Acuity
603	1906083	1637656	8	True
604	1908743	1640427	-1	Show Acuity
605	1909450	1641163	9	True
606	1911690	1643496	-1	Show Acuity
607	1912816	1644670	4	False
608	1914990	1646934	-1	Show Acuity
609	1916283	1648281	3	True
610	1922696	1654962	-1	Show Acuity
611	1924896	1657254	1	False
612	1927683	1660157	-1	Show Acuity
613	1928783	1661303	4	False
614	1932403	1665074	-1	Show Acuity
615	1933856	1666588	5	False
616	1936582	1669428	-1	Show Acuity
617	1937496	1670380	8	True
618	1943156	1676276	-1	Show Acuity
619	1944329	1677498	1	True
620	1947289	1680582	-1	Show Acuity
621	1948509	1681852	5	True
622	1950802	1684241	-1	Show Acuity
623	1951756	1685235	6	True
624	1958176	1691923	-1	Show Acuity
625	1959195	1692985	6	True
626	1961916	1695819	-1	Show Acuity
627	1963382	1697346	0	False
628	1965842	1699909	-1	Show Acuity
629	1966809	1700916	7	True
630	1968962	1703159	-1	Show Acuity
631	1969942	1704180	9	False
632	1973742	1708139	-1	Show Acuity
633	1974749	1709188	9	True
634	1977589	1712146	-1	Show Acuity
635	1978415	1713007	9	True
636	1984662	1719514	-1	Show Acuity
637	1985582	1720473	6	True
638	1988749	1723772	-1	Show Acuity
639	1989502	1724557	8	True
640	1992943	1728141	-1	Show Acuity
641	1995276	1730571	0	False
642	1998396	1733822	-1	Show Acuity
643	1999263	1734724	5	False
644	2001643	1737204	-1	Show Acuity
645	2002762	1738370	5	False
646	2005469	1741190	-1	Show Acuity
647	2006615	1742384	3	False
648	2011922	1747912	-1	Show Acuity
649	2012889	1748920	2	True
650	2014735	1750843	-1	Show Acuity
651	2015568	1751711	2	True
652	2025608	1762170	-1	Show Acuity
653	2026475	1763073	5	False
654	2028402	1765080	-1	Show Acuity
655	2029188	1765899	4	True
656	2041929	1779171	-1	Show Acuity
657	2043048	1780338	7	True
658	2045775	1783178	-1	Show Acuity
659	2047875	1785366	3	False
660	2050582	1788186	-1	Show Acuity
661	2051468	1789109	5	False
662	2057195	1795075	-1	Show Acuity
663	2058301	1796228	2	False
664	2062608	1800714	-1	Show Acuity
665	2063648	1801797	6	False
666	2065975	1804221	-1	Show Acuity
667	2066855	1805138	9	True
668	2070301	1808728	-1	Show Acuity
669	2071588	1810069	5	True
670	2073794	1812367	-1	Show Acuity
671	2074561	1813166	9	True
672	2077901	1816645	-1	Show Acuity
673	2079047	1817840	2	False
674	2083774	1822764	-1	Show Acuity
675	2084494	1823514	4	True
676	2087141	1826272	-1	Show Acuity
677	2088568	1827757	2	False
678	2091401	1830709	-1	Show Acuity
679	2092175	1831515	4	True
680	2094794	1834244	-1	Show Acuity
681	2095594	1835077	1	True
682	2103174	1842973	-1	Show Acuity
683	2104547	1844404	8	False
684	2108207	1848217	-1	Show Acuity
685	2111067	1851196	0	False
686	2114154	1854411	-1	Show Acuity
687	2115047	1855342	3	False
688	2118147	1858571	-1	Show Acuity
689	2118834	1859287	9	True
690	2128240	1869086	-1	Show Acuity
691	2129574	1870475	7	True
692	2132514	1873538	-1	Show Acuity
693	2133394	1874454	2	False
694	2137047	1878260	-1	Show Acuity
695	2138014	1879267	7	True
696	2140893	1882267	-1	Show Acuity
697	2144154	1885664	0	False
698	2147507	1889157	-1	Show Acuity
699	2149541	1891275	0	False
700	2150640	1892421	0	False
701	2154667	1896615	-1	Show Acuity
702	2155640	1897629	1	False
703	2159547	1901699	-1	Show Acuity
704	2160333	1902518	9	True
705	2165526	1907928	-1	Show Acuity
706	2166693	1909144	8	True
707	2173386	1916116	-1	Show Acuity
708	2175093	1917895	2	True
709	2179733	1922728	-1	Show Acuity
710	2180720	1923756	4	True
711	2183966	1927138	-1	Show Acuity
712	2185126	1928346	1	False
713	2188833	1932207	-1	Show Acuity
714	2189954	1933375	0	False
715	2192973	1936520	-1	Show Acuity
716	2193766	1937347	7	True
717	2200173	1944021	-1	Show Acuity
718	2201033	1944917	2	True
719	2203839	1947840	-1	Show Acuity
720	2204472	1948500	6	True
721	2209273	1953501	-1	Show Acuity
722	2210759	1955049	1	False
723	2213152	1957542	-1	Show Acuity
724	2213926	1958348	1	False

